name,group,first_side,tags,unit,main_loops,candidate_loops,loop_matched,main_mean_seconds,candidate_mean_seconds,candidate_over_main,time_change_percent,speedup,pyperf_significant,pyperf_t_score,main_stdev_percent,candidate_stdev_percent
pprint_pformat,A,main,,second,1,1,True,0.9475624011519055,0.9441290074648957,0.9963766041341067,-0.3623395865893331,1.0036365726080474,False,0.9587789124921413,1.278503839938219,2.642965637399195
pprint_safe_repr,A,main,,second,1,1,True,0.46676313852270446,0.4633659767607848,0.9927218722269466,-0.7278127773053367,1.0073314872742014,True,3.793175778015224,0.663674482747044,1.339591804855678
pyflate,B,candidate,,second,1,1,True,0.2321191874022285,0.22657057346465687,0.9760958411078844,-2.3904158892115612,1.024489561255567,True,15.1834623698594,0.8440119922612417,0.9017835241578385
python_startup,A,main,startup,second,16,16,True,0.0101992411519556,0.010270055724928777,1.006943121739954,0.6943121739954039,0.9931047528007773,True,-9.644251717727931,0.3562167521764608,0.42609098909442583
python_startup_no_site,B,candidate,startup,second,32,32,True,0.005869725558053081,0.005887028434760092,1.0029478169866515,0.2947816986651475,0.9970608470981989,True,-3.7196872093014224,0.4648621465035812,0.39973057735548556
raytrace,A,main,,second,1,1,True,0.16040726037075123,0.11703003044240176,0.7295806322725595,-27.041936772744045,1.3706504199338672,True,32.2601467227234,6.444850717104318,1.082096897938722
regex_compile,B,candidate,regex,second,2,2,True,0.08647675660904497,0.08741923071599254,1.0108985829707795,1.0898582970779502,0.98921891557237,True,-2.4080235169410824,2.1438386121691453,2.7439843429530018
regex_dna,A,main,regex,second,1,1,True,0.11321574094084402,0.11844059764407575,1.0461495606513034,4.614956065130338,0.9558862686683423,True,-56.85927856479389,0.38522409146715875,0.4749352068489005
regex_effbot,B,candidate,regex,second,80,80,True,0.0017152184426474076,0.0016275681778400515,0.9488984827658048,-5.11015172341952,1.0538535134814917,True,73.22297750533029,0.3994151541130472,0.3838936014226161
regex_v8,A,main,regex,second,8,8,True,0.013455497023339072,0.014168945108152305,1.0530227968224235,5.30227968224235,0.9496470570414773,True,-25.75932496515278,1.104854218784716,1.0916747597273158
