PHASE imports
COMPILE calls=0 ok=0 ns=0
PROFILE method=0 op=_LOAD_ATTR_INSTANCE_VALUE count=7210115
PROFILE method=0 op=_LOAD_ATTR_MODULE count=9
PROFILE method=0 op=_LOAD_CONST_INLINE count=1881821
PROFILE method=0 op=_LOAD_CONST_INLINE_BORROW count=2612074
PROFILE method=0 op=_LOAD_FAST count=127143
PROFILE method=0 op=_LOAD_FAST_0 count=16
PROFILE method=0 op=_LOAD_FAST_4 count=157030
PROFILE method=0 op=_LOAD_FAST_5 count=1325
PROFILE method=0 op=_LOAD_FAST_6 count=141399
PROFILE method=0 op=_LOAD_FAST_BORROW count=1620181
PROFILE method=0 op=_LOAD_FAST_BORROW_0 count=4541769
PROFILE method=0 op=_LOAD_FAST_BORROW_1 count=2590670
PROFILE method=0 op=_LOAD_FAST_BORROW_2 count=4236007
PROFILE method=0 op=_LOAD_FAST_BORROW_3 count=1231970
PROFILE method=0 op=_LOAD_FAST_BORROW_4 count=510036
PROFILE method=0 op=_LOAD_FAST_BORROW_5 count=252291
PROFILE method=0 op=_LOAD_FAST_BORROW_6 count=249685
PROFILE method=0 op=_LOAD_FAST_BORROW_7 count=157296
PROFILE method=0 op=_LOAD_GLOBAL_BUILTINS count=9
PROFILE method=0 op=_LOAD_GLOBAL_MODULE count=95257
PROFILE method=0 op=_LOCK_OBJECT count=899163
PROFILE method=0 op=_MAKE_HEAP_SAFE count=1183147
PROFILE method=0 op=_MAKE_WARM count=3635818
PROFILE method=0 op=_POP_TOP_FLOAT count=195162
PROFILE method=0 op=_POP_TOP_INT count=4610560
PROFILE method=0 op=_POP_TOP_NOP count=14065161
PROFILE method=0 op=_POP_TOP_OPARG count=8
PROFILE method=0 op=_PUSH_FRAME count=1597120
PROFILE method=0 op=_PUSH_TAGGED_ZERO count=26172
PROFILE method=0 op=_PY_FRAME_GENERAL count=331362
PROFILE method=0 op=_PY_FRAME_KW count=150600
PROFILE method=0 op=_RETURN_VALUE count=1610786
PROFILE method=0 op=_RROT_3 count=35280
PROFILE method=0 op=_SAVE_RETURN_OFFSET count=1597120
PROFILE method=0 op=_SPILL_OR_RELOAD count=6247998
PROFILE method=0 op=_START_EXECUTOR count=2598658
PROFILE method=0 op=_STORE_ATTR_INSTANCE_VALUE count=899163
PROFILE method=0 op=_STORE_SUBSCR_LIST_INT count=257654
PROFILE method=0 op=_SWAP_2 count=2235399
PROFILE method=0 op=_SWAP_FAST count=1233281
PROFILE method=0 op=_SWAP_FAST_1 count=290997
PROFILE method=0 op=_SWAP_FAST_2 count=2382359
PROFILE method=0 op=_SWAP_FAST_3 count=782590
PROFILE method=0 op=_SWAP_FAST_4 count=287373
PROFILE method=0 op=_SWAP_FAST_5 count=97664
PROFILE method=0 op=_SWAP_FAST_6 count=92557
PROFILE method=0 op=_SWAP_FAST_7 count=1
PROFILE method=0 op=_TIER2_RESUME_CHECK count=1782672
PROFILE method=0 op=_TO_BOOL count=13645
PROFILE method=0 op=_TO_BOOL_INT count=554084
PROFILE method=0 op=_UNPACK_SEQUENCE_TWO_TUPLE count=1325
PROFILE method=1 op=_POP_ITER count=38536
PROFILE method=1 op=_POP_TOP count=15982135
PROFILE method=1 op=_PUSH_NULL count=108985
PROFILE method=1 op=_LOAD_COMMON_CONSTANT count=1099767
PROFILE method=1 op=_TO_BOOL_BOOL count=374928
PROFILE method=1 op=_SET_IP count=40418483
PROFILE method=1 op=_BINARY_OP count=681922
PROFILE method=1 op=_BINARY_OP_EXTEND count=108985
PROFILE method=1 op=_BINARY_OP_SUBSCR_LIST_INT count=1113150
PROFILE method=1 op=_BINARY_OP_SUBTRACT_INT count=106970
PROFILE method=1 op=_CALL_BUILTIN_CLASS count=108985
PROFILE method=1 op=_CALL_LEN count=255769
PROFILE method=1 op=_CALL_LIST_APPEND count=41134
PROFILE method=1 op=_CALL_METHOD_DESCRIPTOR_FAST count=106970
PROFILE method=1 op=_CALL_METHOD_DESCRIPTOR_O count=106970
PROFILE method=1 op=_CALL_NON_PY_GENERAL count=108985
PROFILE method=1 op=_CHECK_FUNCTION_EXACT_ARGS count=223506
PROFILE method=1 op=_CHECK_FUNCTION_VERSION count=223506
PROFILE method=1 op=_CHECK_IS_NOT_PY_CALLABLE count=108985
PROFILE method=1 op=_CHECK_MANAGED_OBJECT_HAS_VALUES count=9378757
PROFILE method=1 op=_CHECK_PEP_523 count=223506
PROFILE method=1 op=_CHECK_PERIODIC count=182831
PROFILE method=1 op=_CHECK_RECURSION_LIMIT count=106970
PROFILE method=1 op=_CHECK_RECURSION_REMAINING count=223506
PROFILE method=1 op=_CHECK_STACK_SPACE count=223506
PROFILE method=1 op=_CHECK_VALIDITY count=41462069
PROFILE method=1 op=_COMPARE_OP_INT count=1684568
PROFILE method=1 op=_COPY_1 count=681922
PROFILE method=1 op=_GUARD_BINARY_OP_EXTEND count=108985
PROFILE method=1 op=_GUARD_CALLABLE_BUILTIN_CLASS count=108985
PROFILE method=1 op=_GUARD_CALLABLE_LEN count=255769
PROFILE method=1 op=_GUARD_CALLABLE_LIST_APPEND count=41134
